Display Name,Client ID,Tenant ID,Expires On
quartz7-Quantum1-acc58e02-8a71-4927-85d4-d64a2f10418e,3861c68a-8876-4d44-9a77-9e4c5d7ab89a,,2026-01-25 14:25:28 UTC
Static_WebApp,16d96d06-f28b-4f6b-8bd5-c70d306fc2fc,,2026-03-10 12:28:11 UTC
